Employee_ID,Name,Gender,Age,Department,Experience_Years,Education,City,Salary
1001,Ali,Male,33,HR,8,BSCS,Multan,133314
1002,Hira,Male,35,IT,13,BBA,Karachi,186976
1003,Zain,Male,36,HR,6,MCS,Sahiwal,115746
1004,Amna,Female,24,Finance,0,MBA,Karachi,43848
1005,Amna,Male,33,Sales,10,BSCS,Islamabad,153039
1006,Hira,Female,30,Marketing,8,BSCS,Faisalabad,141054
1007,Zain,Male,36,HR,9,BSCS,Lahore,156918
1008,Amna,Male,32,IT,9,MCS,Islamabad,145628
1009,Hamza,Female,35,Finance,11,BBA,Multan,174130
1010,Noor,Female,26,HR,2,BBA,Faisalabad,71502
1011,Bilal,Female,34,HR,7,BSCS,Islamabad,115832
1012,Bilal,Female,27,Finance,2,BBA,Multan,72585
1013,Hassan,Female,38,HR,14,BBA,Multan,206679
1014,Noor,Female,41,HR,13,BBA,Sahiwal,197861
1015,Ahmed,Female,24,HR,1,MCS,Sahiwal,47008
1016,Hassan,Male,41,Finance,12,BCom,Lahore,191338
1017,Hamza,Male,35,Finance,8,MCS,Karachi,129655
1018,Ali,Female,38,Marketing,8,BSCS,Multan,131854
1019,Umar,Female,30,HR,6,BCom,Sahiwal,114252
1020,Hira,Male,39,IT,10,MBA,Islamabad,150638
1021,Ali,Male,30,Sales,7,BSCS,Sahiwal,116806
1022,Sara,Male,45,Finance,15,BCom,Sahiwal,215410
1023,Ayesha,Female,32,Finance,6,MCS,Sahiwal,115074
1024,Ahmed,Female,32,Finance,7,BSCS,Sahiwal,116098
1025,Hira,Male,29,IT,7,BBA,Lahore,116326
1026,Umar,Male,33,HR,10,MBA,Multan,166847
1027,Ayesha,Female,33,Sales,4,MCS,Karachi,85962
1028,Ahmed,Male,40,Sales,13,MCS,Multan,199879
1029,Hamza,Male,25,Finance,3,BSCS,Karachi,79193
1030,Ayesha,Male,38,HR,14,MBA,Faisalabad,211824
1031,Umar,Male,31,IT,2,BSCS,Multan,72033
1032,Ahmed,Male,31,Sales,7,MCS,Karachi,127317
1033,Kiran,Female,25,IT,1,MCS,Islamabad,54418
1034,Bilal,Female,43,HR,13,BBA,Islamabad,201947
1035,Ali,Male,28,IT,1,BCom,Faisalabad,43873
1036,Ali,Male,26,Marketing,2,BSCS,Multan,56245
1037,Hassan,Male,28,Marketing,3,BSCS,Sahiwal,84970
1038,Hassan,Male,36,Finance,10,BBA,Islamabad,156693
1039,Sara,Female,38,IT,9,BSCS,Faisalabad,148360
1040,Ahmed,Male,36,HR,6,MBA,Lahore,110690
1041,Usman,Male,33,Marketing,9,MBA,Sahiwal,152358
1042,Hamza,Male,32,Finance,9,BSCS,Lahore,142400
1043,Bilal,Male,34,HR,9,MBA,Sahiwal,149235
1044,Bilal,Female,24,Finance,1,BSCS,Lahore,55879
1045,Amna,Female,30,Sales,4,BCom,Multan,83294
1046,Zain,Female,23,HR,0,BCom,Lahore,32465
1047,Hira,Female,32,IT,4,MBA,Islamabad,82176
1048,Kiran,Male,36,IT,11,MBA,Sahiwal,170176
1049,Hira,Female,29,HR,4,MCS,Lahore,83324
1050,Noor,Male,38,Finance,10,BBA,Multan,158131
1051,Hassan,Male,30,HR,1,MCS,Islamabad,49288
1052,Umar,Female,32,HR,7,MCS,Islamabad,114775
1053,Umar,Female,28,Marketing,2,MCS,Multan,65506
1054,Ali,Female,29,Marketing,3,MBA,Lahore,71851
1055,Hira,Male,40,Sales,13,BCom,Sahiwal,196278
1056,Hassan,Male,32,Sales,6,BSCS,Sahiwal,103454
1057,Usman,Male,36,Marketing,13,MBA,Multan,196819
1058,Noor,Male,39,Sales,9,MBA,Faisalabad,148134
1059,Zain,Female,29,Sales,4,BBA,Sahiwal,91777
1060,Hassan,Female,26,HR,0,MCS,Sahiwal,39401
1061,Fatima,Female,43,Marketing,14,MCS,Multan,205002
1062,Hamza,Male,28,Marketing,2,MBA,Lahore,70890
1063,Hamza,Male,34,HR,9,BSCS,Lahore,144525
1064,Fatima,Male,31,Marketing,2,BBA,Multan,67580
1065,Fatima,Female,37,IT,12,BSCS,Faisalabad,178835
1066,Sara,Male,36,HR,14,BSCS,Faisalabad,216265
1067,Amna,Male,44,Marketing,14,MBA,Faisalabad,216314
1068,Umar,Female,38,Sales,14,MBA,Karachi,213554
1069,Amna,Female,40,Sales,15,BSCS,Multan,218998
1070,Ayesha,Female,35,Marketing,8,BSCS,Karachi,136476
1071,Ayesha,Male,36,IT,12,MCS,Faisalabad,181010
1072,Zain,Female,42,HR,14,MCS,Faisalabad,200040
1073,Umar,Male,41,Finance,12,MBA,Faisalabad,174193
1074,Zain,Female,36,Finance,7,MCS,Faisalabad,121190
1075,Hassan,Male,38,Sales,10,BBA,Sahiwal,155408
1076,Kiran,Male,34,Sales,12,BBA,Faisalabad,176750
1077,Ali,Male,36,HR,8,MCS,Islamabad,136726
1078,Amna,Female,38,Finance,12,BSCS,Faisalabad,187813
1079,Noor,Male,28,IT,1,BSCS,Lahore,49347
1080,Ayesha,Male,24,HR,0,MCS,Multan,37816
1081,Hira,Male,35,Finance,6,BBA,Sahiwal,110396
1082,Amna,Male,31,Marketing,5,BSCS,Islamabad,93542
1083,Hassan,Female,29,HR,6,BSCS,Multan,121401
1084,Umar,Female,25,Marketing,3,MCS,Multan,77377
1085,Ahmed,Female,32,Sales,10,BSCS,Faisalabad,163764
1086,Hamza,Female,38,HR,14,BCom,Multan,212270
1087,Hira,Female,44,Marketing,15,MBA,Islamabad,224272
1088,Umar,Male,28,HR,2,MCS,Sahiwal,68771
1089,Usman,Female,29,HR,0,MCS,Karachi,40650
1090,Amna,Female,35,Marketing,8,MBA,Sahiwal,135163
1091,Zain,Male,29,Sales,6,MCS,Sahiwal,109908
1092,Noor,Male,44,IT,15,BSCS,Islamabad,224685
1093,Hassan,Male,33,Finance,7,MCS,Sahiwal,133056
1094,Hassan,Female,37,Finance,10,MBA,Islamabad,164868
1095,Ahmed,Male,33,Marketing,6,BBA,Karachi,105917
1096,Noor,Male,41,Marketing,15,BCom,Islamabad,229319
1097,Umar,Male,32,Finance,6,BBA,Islamabad,109454
1098,Noor,Male,30,IT,4,BCom,Islamabad,79491
1099,Hamza,Male,38,Marketing,15,MBA,Faisalabad,210401
1100,Fatima,Female,34,Finance,10,MCS,Lahore,151683
